gse_id	split_id	split_path	audit_role	time_group	tissue	time_h	n_samples	n_controls	n_delivery	mean_max_contribution_fraction	median_max_contribution_fraction	max_max_contribution_fraction	control_median_max_contribution_fraction	delivery_median_max_contribution_fraction	dominant_gene_id_mode	dominant_gene_symbol_mode	n_unique_top_contributors	pass	fail_reason
GSE178313	GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	external	extended_transfer	Liver	48	8	4	4	0.08731219762677515	0.042595890173117434	0.19707900586614222	0.021748837568016856	0.17623999026178577	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	calibration	extended_transfer	cell line	72	6	3	3	0.07629475285756081	0.06453802623643176	0.13075740035158093	0.045806462153274656	0.1099539524551551	ENSMUSG00000040026	Saa3	5	TRUE	NA
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	calibration	extended_transfer	cell line	72	6	3	3	0.08949273343532568	0.06276686748353574	0.21011714069932308	0.045806462153274656	0.11332441307979425	ENSMUSG00000040026	Saa3	5	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.033401138659913274	0.02859872720327547	0.0667522687226627	0.016642106581305525	0.04440349751219612	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.03884261529153673	0.031906275311792374	0.07094633838948121	0.016642106581305525	0.06624319141808455	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	calibration	extended_transfer	tissue	72	6	3	3	0.03491173358977964	0.031495729970552486	0.05882711315794057	0.016642106581305525	0.05559821712156245	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	1	10	5	5	0.021471960600591693	0.01979138151132562	0.031443314235265564	0.02601837006234292	0.019371807824283657	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	1	10	5	5	0.028771378153203468	0.02628078098400219	0.05096967929046388	0.02601837006234292	0.045040249454654686	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	12	10	5	5	0.02506469018027574	0.026946355152020124	0.0314190362338813	0.02601837006234292	0.029178948062102885	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	12	10	5	5	0.02379809469180184	0.02628078098400219	0.028124766973798905	0.02601837006234292	0.027217641843801852	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	24	10	5	5	0.025817495721488164	0.026946355152020124	0.03188012396635928	0.02601837006234292	0.030988001382619878	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	24	10	5	5	0.025208542342694533	0.02628078098400219	0.037497080341444985	0.02601837006234292	0.02663982092826892	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	3	10	5	5	0.022970705181785935	0.025683033012400568	0.02734951839837879	0.02601837006234292	0.02566755706772294	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	3	10	5	5	0.020626599382934714	0.020028988758552843	0.02734951839837879	0.02601837006234292	0.017064127101414563	ENSMUSG00000022126	Acod1	8	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Blood	6	10	5	5	0.021662978939800813	0.021713251144014067	0.02734951839837879	0.02601837006234292	0.021308933824450812	ENSMUSG00000138573	Gm72936	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Blood	6	10	5	5	0.02389983641410142	0.025857267279603524	0.029633529157746738	0.02601837006234292	0.025696164496864127	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	external	extended_transfer	Blood	72	10	5	5	0.023634175885709943	0.02556774425055198	0.030584656942207505	0.02601837006234292	0.025117118438761035	ENSMUSG00000022126	Acod1	7	TRUE	NA
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	external	extended_transfer	Blood	72	10	5	5	0.020236550948783013	0.019630421044690975	0.02734951839837879	0.02601837006234292	0.017812146064516726	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	dLN	1	10	5	5	0.03553722239751245	0.030645749168851363	0.060440599782716396	0.021734876015377543	0.05180800604160988	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	dLN	1	10	5	5	0.03673194876693907	0.030885305788832834	0.061603773538735355	0.021734876015377543	0.05605982965959539	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	dLN	12	10	5	5	0.026397793982127278	0.027088717570281456	0.03491671735145703	0.021734876015377543	0.03193442146111187	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	dLN	12	10	5	5	0.024067224585971617	0.02527795487581995	0.028544788237051963	0.021734876015377543	0.027331214979369415	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	dLN	24	10	5	5	0.026255551312172744	0.026102603013943806	0.03422190529880435	0.021734876015377543	0.03293752313797224	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	dLN	24	10	5	5	0.024725255730626318	0.025819618264660685	0.02943582222171359	0.021734876015377543	0.029060699514996333	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	dLN	3	10	5	5	0.024984497353451103	0.025267858451249573	0.03150013582882455	0.021734876015377543	0.030161770172223042	ENSMUSG00000022126	Acod1	4	TRUE	NA
