gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000138573.1	3.814317220501772	4.977817758075086	0.11609454010050275	0.04041218008424335	0.9999999999857098	0.9595878199157567	1	0.9595878199157567	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000109729.2	2.236025461698226	3.8495640515383616	0.10919883657463228	0.41914839400979287	0.9999999999996936	0.5808516059902071	1	0.5808516059902071	3.8495640515383616	3.97495376800076	FALSE
ENSMUSG00000124385.1	1.9542981227272778	2.1319520927820115	0.05915900920399705	0.08332925052875402	1	0.9166707494712459	1	0.9166707494712459	2.1319520927820115	3.97495376800076	FALSE
ENSMUSG00000134421.1	1.9133974468128438	4.366412049518441	0.16016269170695815	0.518636553155383	0.9999908089403238	0.48136344684461696	1	0.48136344684461696	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000118590.2	1.8436749531454657	1.8436749531454657	0.09233974309920732	0	1	1	1	1	1.8436749531454657	3.97495376800076	FALSE
ENSMUSG00000029322.13	1.8278549183062145	1.8278549183062145	0.03466379118503926	0	1	1	1	1	1.8278549183062145	3.97495376800076	FALSE
ENSMUSG00000125368.1	1.74607557870143	1.74607557870143	0.07146795571146664	0	1	1	1	1	1.74607557870143	3.97495376800076	FALSE
ENSMUSG00000073490.12	1.7317462404567774	2.0674822388651255	0.04366589126539277	0.16238881867862578	1	0.8376111813213742	1	0.8376111813213742	2.0674822388651255	3.97495376800076	FALSE
ENSMUSG00000078616.3	1.7269860512844784	3.806981760861859	0.04573730286797598	0.5463634554178931	1	0.4536365445821069	1	0.4536365445821069	3.806981760861859	3.97495376800076	FALSE
ENSMUSG00000091549.2	1.2759424283585863	1.580918539146308	0.02999936620481863	0.19291070553983652	1	0.8070892944601635	1	0.8070892944601635	1.580918539146308	3.97495376800076	FALSE
ENSMUSG00000024679.11	1.270685162907333	2.330935845748356	0.03616128430424136	0.45486051654957727	1	0.5451394834504227	1	0.5451394834504227	2.330935845748356	3.97495376800076	FALSE
ENSMUSG00000125029.1	1.217569014038554	3.0409316181214905	0.1504541797139067	0.5996065788579958	0.9999986109441484	0.40039342114200416	1	0.40039342114200416	3.0409316181214905	3.97495376800076	FALSE
ENSMUSG00000031722.11	0.9987236723107821	1.552051124505116	0.05788736694502366	0.3565136762945015	1	0.6434863237054985	1	0.6434863237054985	1.552051124505116	3.97495376800076	FALSE
ENSMUSG00000045868.13	0.8542998678251275	1.4365221389170904	0.03953426680625777	0.4052998943203661	1	0.5947001056796339	1	0.5947001056796339	1.4365221389170904	3.97495376800076	FALSE
ENSMUSG00000062345.11	0.8347724043901288	1.7260981421364043	0.080490696110867	0.5163818417897578	1	0.48361815821024223	1	0.48361815821024223	1.7260981421364043	3.97495376800076	FALSE
ENSMUSG00000055110.9	0.824440425203901	4.36126211559667	0.1442944182859704	0.7925911914143945	0.9999996657720628	0.2074088085856055	1	0.2074088085856055	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000000204.17	0.794990753600152	4.009242973558268	0.06017983622916773	0.9419153244883284	1	0.058084675511671624	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000022126.7	0.794990753600152	6.353446492462103	0.101173962155582	0.983779140934844	0.9999999999999988	0.016220859065156024	1	0.2	3.97495376800076	3.97495376800076	TRUE
