holdout_anchor	training_anchors	n_contrasts	n_positive_delta	positive_delta_fraction	mean_delta_mean_imrs_z	median_delta_mean_imrs_z	min_delta_mean_imrs_z	max_delta_mean_imrs_z	n_model_genes	n_overlap_genes	coverage	notes
GSE39129	GSE167521;GSE264344;GSE279372;GSE279744	1	1	1	50.16108633119239	50.16108633119239	50.16108633119239	50.16108633119239	423	423	1	ok
GSE167521	GSE39129;GSE264344;GSE279372;GSE279744	1	1	1	9.167746539344096	9.167746539344096	9.167746539344096	9.167746539344096	337	337	1	ok
GSE264344	GSE39129;GSE167521;GSE279372;GSE279744	30	30	1	2.8102510867242882	3.159093926429155	0.02016353047273589	5.393812965978044	395	395	1	ok
GSE279372	GSE39129;GSE167521;GSE264344;GSE279744	6	5	0.8333333333333334	15.495172985995342	13.707002892707202	-0.6838096274502249	33.58909711252986	438	438	1	ok
GSE279744	GSE39129;GSE167521;GSE264344;GSE279372	2	2	1	37.81386607780024	37.81386607780024	14.108020734586034	61.519711421014456	386	386	1	ok
