removed_gene_id	removed_gene_symbol	removal_rank	removal_selection_reason	removed_gene_beta_meta	gene_present_in_dataset	gse_id	split_id	split_path	audit_role	time_group	tissue	time_h	n_controls	n_delivery	original_delta_mean_imrs_z	leave_one_gene_out_delta_mean_imrs_z	absolute_change_delta	percent_change_delta	absolute_percent_change_delta	direction_preserved	original_auc_imrs_z	auc_imrs_z
ENSMUSG00000060183	Cxcl11	2	top_abs_beta_meta	6.0257926459264395	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	9.718003857494596	0.11132204758274433	1.1587981134951924	1.1587981134951924	TRUE	1	1
ENSMUSG00000060183	Cxcl11	2	top_abs_beta_meta	6.0257926459264395	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	15.155044328289083	0.13396216338234979	0.8918276453831085	0.8918276453831085	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	10.011879497320988	1.148800770130352	-10.293286274678781	10.293286274678781	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	9.210593807925369	0.9341346890994249	-9.208079736913454	9.208079736913454	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.08294843548989	0.721302910225047	-7.357042213532204	7.357042213532204	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	8.694617784859636	7.785271194554459	0.9093465903051774	-10.458729904017945	10.458729904017945	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	8.666091660800836	0.94059014911101535	-9.790999303636205	9.790999303636205	TRUE	1	1
ENSMUSG00000138573	Gm72936	3	top_abs_beta_meta	4.977817758075086	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	13.76300934140476	1.2580728235019727	-8.37538074614336	8.37538074614336	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	11.21024064216444	0.049560374713099264	0.44406231094743925	0.44406231094743925	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	10.19526180985523	0.05053331283043683	0.49812385659465447	0.49812385659465447	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.852897099990104	0.04864575427516726	0.4961700038058333	0.4961700038058333	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	8.694617784859636	8.734354526983925	0.03973674212428868	0.4570268999458978	0.4570268999458978	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	9.648340986174647	0.04165917626279558	0.4336479243000746	0.4336479243000746	TRUE	1	1
ENSMUSG00000035385	Ccl2	4	top_abs_beta_meta	4.6635139717927325	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	15.09581045036095	0.07472828545421706	0.4974893595136729	0.4974893595136729	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	11.152054802242501	0.00862546520883889	-0.0772844038368694	0.0772844038368694	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	10.136441493156179	0.008287003868614917	-0.08168778367055655	0.08168778367055655	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.786771171452305	0.01748017426263182	-0.17829178023135583	0.17829178023135583	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	8.694617784859636	8.689785962669141	0.004831822190494606	-0.055572565810868585	0.055572565810868585	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	9.600929161358216	0.005752648553634998	-0.05988174343090669	0.05988174343090669	TRUE	1	1
ENSMUSG00000034855	Cxcl10	5	top_abs_beta_meta	4.612796832918611	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	15.017046625312002	0.004035539594731574	-0.026865837963124084	0.026865837963124084	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	11.138416775472203	0.02226349197913713	-0.1994814961599221	0.1994814961599221	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	10.132906226333244	0.011822270691549619	-0.11653609749158697	0.11653609749158697	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.793807415497264	0.010443930217672204	-0.10652450502747307	0.10652450502747307	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	8.694617784859636	8.7083472374687	0.013729452609064552	0.1579074888487027	0.1579074888487027	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	9.592193860731225	0.014487949180626458	-0.15081116942666176	0.15081116942666176	TRUE	1	1
ENSMUSG00000085295	4930430E12Rik	6	top_abs_beta_meta	4.495088843307157	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	14.986006086719284	0.03507607818744951	-0.23351232489358598	0.23351232489358598	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	11.219045678734158	0.0583654112828178	0.5229556790819719	0.5229556790819719	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	10.19084335990037	0.046114862875576534	0.4545697096684344	0.4545697096684344	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.854285058140515	0.05003371242557897	0.5103267007474955	0.5103267007474955	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	8.694617784859636	8.736523759059898	0.04190597420026165	0.48197603663768385	0.48197603663768385	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.606681809911851	9.655084456819615	0.04840264690776408	0.503843552493056	0.503843552493056	TRUE	1	1
ENSMUSG00000052485	Tmem171	7	top_abs_beta_meta	4.404983306498316	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	15.021082164906733	15.089496637446674	0.06841447253994026	0.4554563498745435	0.4554563498745435	TRUE	1	1
ENSMUSG00000040026	Saa3	8	top_abs_beta_meta	4.397792528205895	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	11.16068026745134	10.92763320314839	0.23304706430294964	-2.0881080607837212	2.0881080607837212	TRUE	1	1
ENSMUSG00000040026	Saa3	8	top_abs_beta_meta	4.397792528205895	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	10.144728497024794	9.936790352513523	0.2079381445112709	-2.0497162104659004	2.0497162104659004	TRUE	1	1
ENSMUSG00000040026	Saa3	8	top_abs_beta_meta	4.397792528205895	TRUE	GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	external	acute_main	whole liver	4	4	4	9.804251345714937	9.60607427931427	0.19817706640066568	-2.021338085006167	2.021338085006167	TRUE	1	1
