gene_id	datasets_used	k_datasets_used	beta_meta	se_meta	sum_w	k	Q	df	I2	phase	is_core	heterogeneity_flag
ENSMUSG00000045871.6	GSE167521;GSE264344;GSE279372	3	-1.3345991504945454	0.13757679049836388	52.833532947452404	3	2.28435264035819	2	0.12447843443016016	anchor	FALSE	FALSE
ENSMUSG00000072915.4	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.645871527709767	0.028325531236848136	1246.3610621590904	5	4.568680874196549	4	0.1244737572738777	anchor	FALSE	FALSE
ENSMUSG00000131258.1	GSE264344;GSE279372	2	-0.13450191477730622	0.17116860460439098	34.131217435556366	2	1.1421561367784792	1	0.12446296281298211	anchor	FALSE	FALSE
ENSMUSG00000128218.1	GSE167521;GSE264344;GSE279372	3	-0.6244695364385886	0.16302512587040935	37.62624782190795	3	2.2842443671005657	2	0.12443693467934973	anchor	FALSE	FALSE
ENSMUSG00000043366.17	GSE167521;GSE264344;GSE279372	3	-0.9130306185318027	0.08939828903618646	125.12427839764881	3	2.283928971758446	2	0.12431602526581335	anchor	FALSE	FALSE
ENSMUSG00000120160.2	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.38382360594502063	0.10219030688404672	95.7592185373346	5	4.567851674161359	4	0.12431482339356266	anchor	FALSE	FALSE
ENSMUSG00000047749.3	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.35902996792813585	0.03345668096946663	893.3760176481824	5	4.567456067247139	4	0.12423897655334251	anchor	FALSE	FALSE
ENSMUSG00000027569.16	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.3363986163722716	0.022741186213813148	1933.6317620763734	5	4.567015210397522	4	0.12415443879114385	anchor	FALSE	FALSE
ENSMUSG00000125844.1	GSE264344;GSE279372	2	-0.8749151407374584	0.3607014560031056	7.6860677663057215	2	1.1416438191412845	1	0.12407006175343324	anchor	FALSE	FALSE
ENSMUSG00000037475.16	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.12371765859896962	0.02472583072722089	1635.679521920836	5	4.566136816178658	4	0.12398595113767329	anchor	FALSE	FALSE
ENSMUSG00000103882.2	GSE167521;GSE264344;GSE279372	3	-0.23663164573704362	0.1874177454596183	28.469417513273743	3	2.282949636265706	2	0.12394037598154624	anchor	FALSE	FALSE
ENSMUSG00000126988.1	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.5679613353035952	0.08059662560147707	153.9452458348752	5	4.565109076311428	4	0.12378873469722909	anchor	FALSE	FALSE
ENSMUSG00000017195.16	GSE167521;GSE264344;GSE279372	3	0.09078371178087008	0.06847769391483194	213.25623971757437	3	2.2808067796344615	2	0.1231173031147626	anchor	FALSE	FALSE
ENSMUSG00000031591.15	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.008016997435973972	0.019332914063896943	2675.502487217971	5	4.561570101039834	4	0.12310894902433289	anchor	FALSE	FALSE
ENSMUSG00000128549.1	GSE167521;GSE264344;GSE279372	3	-0.6294579248670643	0.1927913367402719	26.90450281441643	3	2.280492246796893	2	0.12299636062822113	anchor	FALSE	FALSE
ENSMUSG00000069588.5	GSE264344;GSE279372	2	-1.7471811157680834	0.4599980311610627	4.725938375350899	2	1.140012132448351	1	0.12281635296955432	anchor	FALSE	FALSE
ENSMUSG00000099746.2	GSE167521;GSE264344;GSE39129	3	0.7973676806481353	0.19544335891400222	26.17930809892133	3	2.279811061819281	2	0.12273432062216272	anchor	FALSE	FALSE
ENSMUSG00000037197.12	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.20462612501942548	0.01839791763897329	2954.354861824267	5	4.558491169237219	4	0.12251667240383672	anchor	FALSE	FALSE
