gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.8286278144106123	1	4.557142380026869	1
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.4538398341193046	1	4.557142380026869	1
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	3.12818821912565	1	2.7728375923214097	1
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	1.2026590249648734	1	2.7728375923214097	1
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.8428392818679006	0.92	2.7728375923214097	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	3.1259985370382357	1	2.7381119047981937	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	1.5645947347453002	1	2.7381119047981937	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.0602616806749552	1	2.7381119047981937	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	1.915357342383984	1	1.4094733289679715	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.49650419218433206	0.96	1.4094733289679715	1
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.5230918568927917	1	1.4094733289679715	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	3.597732432561141	1	3.6646891330381473	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.339140519710911	1	3.6646891330381473	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.2774433540840011	1	3.6646891330381473	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	0.8900697350834623	0.96	0.9366653756632484	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.7697744363451826	1	0.9366653756632484	1
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.7143737808293086	1	0.9366653756632484	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	3.6204815970690816	1	3.515367759659114	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.022028735071841	1	3.515367759659114	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.2899356881063375	1	3.515367759659114	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	4.465315071507177	1	4.749455631909948	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.7608552128179773	1	4.749455631909948	1
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.4920617984651239	1	4.749455631909948	1
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	-0.11618591030346248	0.44	0.08713996296972348	0.7200000000000001
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.22655116887837867	0.7200000000000001	0.08713996296972348	0.7200000000000001
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	-0.08006029225706823	0.4	0.08713996296972348	0.7200000000000001
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	0.21464353496710054	0.8	0.26635130536495155	0.96
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.4764663126488036	0.92	0.26635130536495155	0.96
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.25073862824884785	1	0.26635130536495155	0.96
