design_file	file_base	tissue	time_h	batch	group_token	control_token	group_raw	dataset_unit	parent_dataset
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	cell_line	72	NA	delivery_tlnp_sihbv_50nm	baseline_0	delivery_tlnp_sihbv_50nm	GSE262515_cell_line	GSE262515_design
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	cell_line	72	NA	delivery_tlnp_sinc_50nm	baseline_0	delivery_tlnp_sinc_50nm	GSE262515_cell_line	GSE262515_design

