tissue_raw	time_label	batch_raw	group_raw	group_token
cell line	72h	NA	delivery_tlnp_sihbv_50nm	delivery_tlnp_sihbv_50nm
cell line	72h	NA	delivery_tlnp_sinc_50nm	delivery_tlnp_sinc_50nm
