gene_id	SRR13783173	SRR13783175	SRR13783177	SRR13783179	SRR13783174	SRR13783176	SRR13783178	SRR13783180
ENSMUSG00000102647.2	0	0	0	0	0	0	0	0
ENSMUSG00000086235.2	1	0	0	1	1	0	1	0
ENSMUSG00000123533.1	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	0	0	0	0	0	0	0	0
ENSMUSG00002074990.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	0	0	0	0	0	0	0	0
ENSMUSG00000084353.2	0	1	0	0	5	2	6	2
ENSMUSG00000103933.2	3	1	0	3	3	2	1	7
ENSMUSG00002075967.1	3	0	4	3	4	0	5	3
ENSMUSG00000086195.2	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	1	0	0	0
ENSMUSG00000123491.1	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	1	1	0	0	1	0	1	0
ENSMUSG00000102316.2	0	0	0	0	1	0	0	0
ENSMUSG00000103819.2	0	0	0	0	0	0	0	0
ENSMUSG00000102871.2	0	0	0	0	0	0	0	0
ENSMUSG00000101571.3	0	1	0	0	0	2	3	3
ENSMUSG00000135814.1	0	0	0	0	0	0	0	0
ENSMUSG00000104428.2	0	0	0	0	0	0	0	0
ENSMUSG00000102272.2	0	0	0	1	0	0	0	0
ENSMUSG00000065625.3	0	0	0	0	0	0	0	0
ENSMUSG00000079671.11	37	47	24	26	18	14	9	9
ENSMUSG00000103411.2	0	2	0	0	0	0	0	0
ENSMUSG00000061024.9	316	258	258	374	638	460	574	645
ENSMUSG00000025911.15	553	502	301	525	276	151	41	84
ENSMUSG00000081441.4	4	1	1	0	3	3	2	2
ENSMUSG00000067879.4	0	1	0	1	0	0	2	0
ENSMUSG00000099827.2	0	0	0	0	0	0	0	0
ENSMUSG00000025912.17	71	51	47	40	73	87	69	51
ENSMUSG00000123215.1	0	1	0	0	0	1	0	0
ENSMUSG00000045210.9	1524	1093	931	1110	2187	1560	1895	1490
ENSMUSG00000097893.11	2	4	2	3	2	3	7	1
ENSMUSG00000128816.1	1	1	0	0	0	0	0	0
ENSMUSG00000025915.15	1279	896	742	889	1266	1005	1354	1221
ENSMUSG00000046334.5	0	0	0	3	0	1	1	4
ENSMUSG00002075801.1	0	0	0	0	0	0	1	0
ENSMUSG00000098234.10	265	219	212	309	266	206	274	422
ENSMUSG00000046101.17	2	0	3	1	6	6	8	11
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	15	14	14	14	15	15	20	18
ENSMUSG00000104025.2	1	0	0	0	0	0	0	0
ENSMUSG00000025916.11	4	2	2	2	4	3	1	0
ENSMUSG00000087199.2	0	0	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	0	0	1	0	0	1
ENSMUSG00000119658.1	0	0	0	0	0	0	0	0
ENSMUSG00000025917.10	1660	1239	1581	2014	1984	1293	1555	2146
ENSMUSG00000056763.17	391	246	200	212	337	273	334	236
ENSMUSG00000137212.1	0	0	0	0	0	0	0	0
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	5175	3855	4315	4266	4508	2873	3162	2926
ENSMUSG00002076532.1	2	1	1	1	0	2	0	0
ENSMUSG00000102556.2	0	0	0	1	1	0	1	2
ENSMUSG00000127523.1	1	3	0	0	1	4	1	1
ENSMUSG00000123573.1	0	0	0	0	0	0	0	0
ENSMUSG00000042501.13	1	5	1	2	9	7	8	3
ENSMUSG00000103810.2	0	0	0	0	0	0	0	0
ENSMUSG00000130625.1	0	0	0	0	0	0	0	0
ENSMUSG00000083422.2	1	1	1	2	0	1	1	3
ENSMUSG00000119312.1	0	0	0	0	0	0	0	0
ENSMUSG00000137678.1	0	0	0	0	0	0	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	1	0	0	0	0	0	0	0
ENSMUSG00000100212.2	0	1	0	0	0	0	0	0
ENSMUSG00000125508.1	0	0	0	0	0	0	0	0
ENSMUSG00000100648.2	0	1	0	3	1	0	0	0
ENSMUSG00000130062.1	0	1	0	0	0	0	0	0
ENSMUSG00002076499.1	0	0	0	0	0	0	0	0
ENSMUSG00000048960.14	1086	769	595	748	859	484	582	419
ENSMUSG00000127757.1	0	0	0	1	0	0	1	0
ENSMUSG00000127802.1	0	0	0	0	1	0	0	0
ENSMUSG00000077318.3	0	0	0	0	0	0	0	0
ENSMUSG00000101827.2	1	0	1	0	1	0	0	0
