gene_id	SRR518631	SRR518632	SRR518633	SRR518634	SRR518635	SRR518636
ENSMUSG00000104428.2	0	0	0	0	0	0
ENSMUSG00000102272.2	0	2	3	2	0	2
ENSMUSG00000065625.3	0	0	0	0	0	0
ENSMUSG00000079671.11	4	8	8	23	17	3
ENSMUSG00000103411.2	0	0	0	0	0	0
ENSMUSG00000061024.9	95	137	93	95	108	75
ENSMUSG00000025911.15	1181	1299	1411	1695	1620	930
ENSMUSG00000081441.4	2	3	3	1	3	1
ENSMUSG00000067879.4	2	5	2	0	3	0
ENSMUSG00000099827.2	0	0	0	0	0	0
ENSMUSG00000025912.17	10	6	0	6	1	6
ENSMUSG00000123215.1	1	0	0	1	0	0
ENSMUSG00000045210.9	453	593	664	401	618	240
ENSMUSG00000097893.11	12	18	14	25	21	13
ENSMUSG00000128816.1	3	0	1	0	0	1
ENSMUSG00000025915.15	196	231	228	199	211	148
ENSMUSG00000046334.5	0	0	1	0	0	0
ENSMUSG00002075801.1	0	0	0	1	0	0
ENSMUSG00000098234.10	123	148	128	182	188	112
ENSMUSG00000046101.17	1	0	1	2	1	1
ENSMUSG00000093178.3	0	0	0	0	0	0
ENSMUSG00000099032.3	229	274	87	391	129	172
ENSMUSG00000104025.2	2	3	2	8	2	2
ENSMUSG00000025916.11	5	5	3	12	3	2
ENSMUSG00000087199.2	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	0	0	0	0
ENSMUSG00000119658.1	0	0	0	0	0	0
ENSMUSG00000025917.10	634	837	725	959	932	575
ENSMUSG00000056763.17	181	188	252	246	301	170
ENSMUSG00000137212.1	1	0	0	0	0	0
ENSMUSG00000102356.2	0	0	0	0	0	0
ENSMUSG00000067851.12	769	1043	1280	1204	1726	712
ENSMUSG00002076532.1	0	1	0	0	0	0
ENSMUSG00000102556.2	2	0	0	0	1	0
ENSMUSG00000127523.1	0	1	0	1	0	1
ENSMUSG00000123573.1	0	0	0	0	0	0
ENSMUSG00000042501.13	0	0	0	0	0	0
ENSMUSG00000103810.2	0	0	1	0	0	0
ENSMUSG00000130625.1	0	0	0	0	0	0
ENSMUSG00000083422.2	0	0	0	0	0	0
ENSMUSG00000119312.1	0	0	0	0	0	0
ENSMUSG00000137678.1	0	0	0	0	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0
ENSMUSG00000103448.2	0	0	0	0	0	0
ENSMUSG00000100212.2	0	0	0	0	0	0
ENSMUSG00000125508.1	0	0	0	0	0	0
ENSMUSG00000100648.2	1	1	0	0	1	0
ENSMUSG00000130062.1	0	0	0	0	0	0
ENSMUSG00002076499.1	0	0	0	0	0	0
ENSMUSG00000048960.14	54	119	122	157	149	66
ENSMUSG00000127757.1	0	0	0	0	0	0
ENSMUSG00000127802.1	0	0	1	0	0	0
ENSMUSG00000077318.3	0	1	0	0	0	0
ENSMUSG00000101827.2	0	1	1	0	2	2
ENSMUSG00000122491.1	0	0	0	0	0	0
ENSMUSG00000103494.2	0	0	0	0	0	0
ENSMUSG00000143092.1	1	0	0	0	0	0
ENSMUSG00000057715.14	0	0	0	0	0	0
ENSMUSG00000103825.2	0	0	0	0	0	0
ENSMUSG00000099845.2	0	0	0	0	0	0
ENSMUSG00000139014.1	0	0	0	0	0	0
ENSMUSG00000138973.1	0	0	0	0	0	0
ENSMUSG00000103561.2	0	0	0	0	0	0
ENSMUSG00000134440.1	0	0	0	0	0	0
ENSMUSG00000101610.2	0	3	1	2	4	0
ENSMUSG00000141382.1	0	0	0	0	0	0
ENSMUSG00000118923.1	0	0	0	0	0	0
ENSMUSG00000098555.3	0	0	0	0	0	0
ENSMUSG00000143719.1	0	0	0	0	0	0
ENSMUSG00000097628.2	6	0	6	5	4	1
ENSMUSG00000098163.2	0	1	0	0	0	0
ENSMUSG00000097171.3	0	0	0	0	0	0
ENSMUSG00000101314.3	1	0	0	0	0	0
ENSMUSG00000016918.16	23	31	44	51	26	37
ENSMUSG00000127288.1	0	0	0	0	0	0
ENSMUSG00000025938.17	0	1	0	2	1	1
ENSMUSG00000104518.2	0	0	0	0	0	0
ENSMUSG00000141815.1	0	0	0	1	2	0
ENSMUSG00000069620.7	0	0	0	0	0	0
ENSMUSG00000099498.3	0	0	0	0	1	0
ENSMUSG00000042414.8	1	1	1	1	0	1
ENSMUSG00000005886.15	733	1063	1652	1279	1529	656
ENSMUSG00000103506.2	1	0	1	1	2	0
ENSMUSG00000103495.2	0	1	2	0	1	0
ENSMUSG00002076346.1	0	0	0	0	0	0
ENSMUSG00000102639.2	0	0	1	0	1	1
ENSMUSG00000104170.2	0	0	2	3	0	2
ENSMUSG00000134412.1	1	3	3	10	1	2
ENSMUSG00000087782.3	0	0	0	0	0	0
ENSMUSG00000103085.2	1	4	9	6	9	7
ENSMUSG00000102664.2	4	0	4	4	1	6
