file	filename	dataset_id	is_human	H	time_bin
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	1	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	1	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	12	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	12	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	3	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	3	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	1	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	1	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	12	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	12	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	3	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	3	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344	FALSE	72	calib_24_72
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__contrast_index.tsv	GSE279372_design__contrast_index.tsv	GSE279372	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__group_map.tsv	GSE279372_design__group_map.tsv	GSE279372	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	GSE279372	FALSE	24	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279744_design/GSE279744_design__contrast_index.tsv	GSE279744_design__contrast_index.tsv	GSE279744	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279744_design/GSE279744_design__group_map.tsv	GSE279744_design__group_map.tsv	GSE279744	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	GSE279744	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	GSE279744	FALSE	6	anchor_le24
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE39129_design/GSE39129_design__contrast_index.tsv	GSE39129_design__contrast_index.tsv	GSE39129	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE39129_design/GSE39129_design__group_map.tsv	GSE39129_design__group_map.tsv	GSE39129	FALSE	NA	missing_H
D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	GSE39129	FALSE	4	anchor_le24
