sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR17223812	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223814	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223818	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223820	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223803	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223805	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223807	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223809	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223811	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223813	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223816	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223819	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223821	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223815	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
SRR17223817	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	1344	1344h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	fallback_time0
