design_file	file_base	tissue	time_h	batch	group_token	control_token	group_raw	dataset_unit	parent_dataset
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	tissue	72	NA	delivery_tlnp_sihbv_1mg_kg	baseline_0	delivery_tlnp_sihbv_1mg_kg	GSE262515_tissue	GSE262515_design
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	tissue	72	NA	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	delivery_tlnp_sihbv_2_5mg_kg	GSE262515_tissue	GSE262515_design
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	tissue	72	NA	delivery_tlnp_sinc_1mg_kg	baseline_0	delivery_tlnp_sinc_1mg_kg	GSE262515_tissue	GSE262515_design

