tissue_raw	time_label	batch_raw	group_raw	group_token
tissue	72h	NA	delivery_tlnp_sihbv_1mg_kg	delivery_tlnp_sihbv_1mg_kg
tissue	72h	NA	delivery_tlnp_sihbv_2_5mg_kg	delivery_tlnp_sihbv_2_5mg_kg
tissue	72h	NA	delivery_tlnp_sinc_1mg_kg	delivery_tlnp_sinc_1mg_kg
