metric	low	high	q_low	q_high
coherence_rwithin	-0.021232673075813564	0.41961675771869594	0.1	0.9
coherence_spreadwithin	2.9459077316053355	33.0869757853376	0.1	0.9
log1p_separation_ratio	0.5458027649183774	3.121660349648339	0.1	0.9
silhouette_mean	-0.053013455966127915	0.4903118072303367	0.1	0.9
