design_file	file_base	tissue	time_h	batch	group_token	control_token	group_raw	genotype_raw	control_raw	n_control	n_delivery
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	NA	4	NA	NA	TRIM21_KO_uninfected_whole_liver	NA	NA	NA	NA	NA
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	NA	4	NA	GID00096342	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	TRIM21_KO	TRIM21_KO_uninfected_whole_liver	4	4
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	NA	4	NA	GID00088542	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	TRIM21_KO	TRIM21_KO_uninfected_whole_liver	4	4
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	NA	4	NA	NA	WT_uninfected_whole_liver	NA	NA	NA	NA	NA
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	NA	4	NA	GID00069418	WT_uninfected_whole_liver	WT_virus_plus_rh9C12_H433A_whole_liver	WT	WT_uninfected_whole_liver	4	4
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	NA	4	NA	NA	WT_uninfected_whole_liver	NA	NA	NA	NA	NA

