sample_id	condition_simple	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	control_label	contrast_label	control_time_policy
SRR7761109	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA	WT_uninfected_whole_liver	whole liver	4	4	4h	NA	TRUE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761110	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA	WT_uninfected_whole_liver	whole liver	4	4	4h	NA	TRUE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761111	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA	WT_uninfected_whole_liver	whole liver	4	4	4h	NA	TRUE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761112	CONTROL	WT_uninfected_whole_liver	whole liver	4	NA	WT_uninfected_whole_liver	whole liver	4	4	4h	NA	TRUE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761113	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA	WT_virus_only_whole_liver	whole liver	4	4	4h	NA	FALSE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761114	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA	WT_virus_only_whole_liver	whole liver	4	4	4h	NA	FALSE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761115	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA	WT_virus_only_whole_liver	whole liver	4	4	4h	NA	FALSE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
SRR7761116	DELIVERY	WT_virus_only_whole_liver	whole liver	4	NA	WT_virus_only_whole_liver	whole liver	4	4	4h	NA	FALSE	WT_uninfected_whole_liver	WT_virus_only_whole_liver__vs__WT_uninfected_whole_liver	matched_time
