sample_id	condition_simple	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	genotype_raw	is_control	control_label	contrast_label	control_time_policy	genotype_split
SRR7761125	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	TRUE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761126	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	TRUE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761127	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	TRUE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761128	CONTROL	TRIM21_KO_uninfected_whole_liver	whole liver	4	NA	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	TRUE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761133	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	FALSE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761134	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	FALSE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761135	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	FALSE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
SRR7761136	DELIVERY	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	NA	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	4h	NA	TRIM21_KO	FALSE	TRIM21_KO_uninfected_whole_liver	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver__vs__TRIM21_KO_uninfected_whole_liver	matched_time	TRIM21_KO
