sample_id	tissue	timepoint_hr	batch	condition_simple	group	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	control_label	contrast_label	control_time_policy
SRR14828048	Liver	48	NA	CONTROL	mouse_repopulated_pbs	mouse_repopulated_pbs	Liver	48	48	48h	NA	TRUE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828059	Liver	48	NA	CONTROL	mouse_repopulated_pbs	mouse_repopulated_pbs	Liver	48	48	48h	NA	TRUE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828060	Liver	48	NA	CONTROL	mouse_repopulated_pbs	mouse_repopulated_pbs	Liver	48	48	48h	NA	TRUE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828061	Liver	48	NA	CONTROL	mouse_repopulated_pbs	mouse_repopulated_pbs	Liver	48	48	48h	NA	TRUE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828049	Liver	48	NA	DELIVERY	mouse_repopulated_lnp	mouse_repopulated_lnp	Liver	48	48	48h	NA	FALSE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828062	Liver	48	NA	DELIVERY	mouse_repopulated_lnp	mouse_repopulated_lnp	Liver	48	48	48h	NA	FALSE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828063	Liver	48	NA	DELIVERY	mouse_repopulated_lnp	mouse_repopulated_lnp	Liver	48	48	48h	NA	FALSE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
SRR14828064	Liver	48	NA	DELIVERY	mouse_repopulated_lnp	mouse_repopulated_lnp	Liver	48	48	48h	NA	FALSE	mouse_repopulated_pbs	mouse_repopulated_lnp__vs__mouse_repopulated_pbs	matched_time
