tissue_raw	time_label	batch_raw	group_raw	group_token
Tibialis anterior	1008h	NA	delivery_aav9_ar45	delivery_aav9_ar45
Tibialis anterior	1008h	NA	delivery_aav9_gfp	delivery_aav9_gfp
