sample_id	group	tissue	timepoint_hr	batch	raw_time_label	time_reference_event	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR13694568	delivery_untreated	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_untreated	Tibialis anterior	1008	1008	1008h	NA	TRUE	CONTROL	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
SRR13694569	delivery_untreated	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_untreated	Tibialis anterior	1008	1008	1008h	NA	TRUE	CONTROL	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
SRR13694570	delivery_untreated	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_untreated	Tibialis anterior	1008	1008	1008h	NA	TRUE	CONTROL	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
SRR13694565	delivery_aav9_gfp	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_aav9_gfp	Tibialis anterior	1008	1008	1008h	NA	FALSE	DELIVERY	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
SRR13694566	delivery_aav9_gfp	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_aav9_gfp	Tibialis anterior	1008	1008	1008h	NA	FALSE	DELIVERY	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
SRR13694567	delivery_aav9_gfp	Tibialis anterior	1008	NA	6 weeks after AAV9 injection (5 to 11 weeks of age)	intravenous AAV9-AR45 or AAV9-GFP injection	delivery_aav9_gfp	Tibialis anterior	1008	1008	1008h	NA	FALSE	DELIVERY	delivery_untreated	delivery_aav9_gfp__vs__delivery_untreated	matched_time
