sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR28740116	DELIVERY	FALSE	delivery_ad26	Muscle	24	24	NA
SRR28740117	DELIVERY	FALSE	delivery_ad26	Muscle	6	6	NA
SRR28740118	DELIVERY	FALSE	delivery_ad5	dLN	12	12	NA
SRR28740119	CONTROL	TRUE	baseline_0	Muscle	0	0	NA
SRR28740120	CONTROL	TRUE	baseline_0	Muscle	0	0	NA
SRR28740121	CONTROL	TRUE	baseline_0	Muscle	0	0	NA
SRR28740122	CONTROL	TRUE	baseline_0	Muscle	0	0	NA
SRR28740123	CONTROL	TRUE	baseline_0	Muscle	0	0	NA
SRR28740124	CONTROL	TRUE	baseline_0	dLN	0	0	NA
SRR28740125	CONTROL	TRUE	baseline_0	dLN	0	0	NA
SRR28740126	CONTROL	TRUE	baseline_0	dLN	0	0	NA
SRR28740127	CONTROL	TRUE	baseline_0	dLN	0	0	NA
SRR28740128	CONTROL	TRUE	baseline_0	dLN	0	0	NA
SRR28740129	DELIVERY	FALSE	delivery_ad5	dLN	72	72	NA
SRR28740130	DELIVERY	FALSE	delivery_ad5	dLN	72	72	NA
SRR28740131	DELIVERY	FALSE	delivery_ad5	Muscle	12	12	NA
SRR28740132	DELIVERY	FALSE	delivery_ad5	Muscle	24	24	NA
SRR28740133	DELIVERY	FALSE	delivery_ad5	Muscle	12	12	NA
SRR28740134	DELIVERY	FALSE	delivery_ad26	Muscle	24	24	NA
SRR28740135	DELIVERY	FALSE	delivery_ad26	Muscle	12	12	NA
SRR28740136	DELIVERY	FALSE	delivery_ad26	Muscle	24	24	NA
SRR28740137	DELIVERY	FALSE	delivery_ad26	Muscle	12	12	NA
SRR28740138	DELIVERY	FALSE	delivery_ad26	Muscle	24	24	NA
SRR28740139	DELIVERY	FALSE	delivery_ad26	Muscle	12	12	NA
SRR28740140	DELIVERY	FALSE	delivery_ad26	Muscle	12	12	NA
SRR28740141	DELIVERY	FALSE	delivery_ad26	Muscle	24	24	NA
SRR28740142	DELIVERY	FALSE	delivery_ad26	Muscle	12	12	NA
SRR28740143	DELIVERY	FALSE	delivery_ad5	dLN	6	6	NA
SRR28740144	DELIVERY	FALSE	delivery_ad5	dLN	24	24	NA
SRR28740145	DELIVERY	FALSE	delivery_ad5	dLN	6	6	NA
SRR28740146	DELIVERY	FALSE	delivery_ad5	dLN	24	24	NA
SRR28740147	DELIVERY	FALSE	delivery_ad5	dLN	6	6	NA
SRR28740148	DELIVERY	FALSE	delivery_ad5	dLN	24	24	NA
SRR28740149	DELIVERY	FALSE	delivery_ad5	dLN	6	6	NA
SRR28740150	DELIVERY	FALSE	delivery_ad5	dLN	24	24	NA
SRR28740151	DELIVERY	FALSE	delivery_ad26	Blood	72	72	NA
SRR28740152	DELIVERY	FALSE	delivery_ad26	Blood	72	72	NA
SRR28740153	DELIVERY	FALSE	delivery_ad26	Blood	72	72	NA
SRR28740154	DELIVERY	FALSE	delivery_ad5	Muscle	72	72	NA
SRR28740155	DELIVERY	FALSE	delivery_ad5	Muscle	72	72	NA
SRR28740156	DELIVERY	FALSE	delivery_ad5	Muscle	72	72	NA
SRR28740157	DELIVERY	FALSE	delivery_ad5	Muscle	72	72	NA
SRR28740158	DELIVERY	FALSE	delivery_ad5	Muscle	72	72	NA
SRR28740159	DELIVERY	FALSE	delivery_ad26	Muscle	72	72	NA
SRR28740160	DELIVERY	FALSE	delivery_ad26	Muscle	72	72	NA
SRR28740161	DELIVERY	FALSE	delivery_ad26	Muscle	72	72	NA
SRR28740162	DELIVERY	FALSE	delivery_ad26	Muscle	72	72	NA
SRR28740163	DELIVERY	FALSE	delivery_ad26	Muscle	72	72	NA
SRR28740164	DELIVERY	FALSE	delivery_ad5	Muscle	24	24	NA
SRR28740165	DELIVERY	FALSE	delivery_ad5	Muscle	12	12	NA
SRR28740166	DELIVERY	FALSE	delivery_ad5	Muscle	24	24	NA
SRR28740167	DELIVERY	FALSE	delivery_ad5	Muscle	12	12	NA
SRR28740168	DELIVERY	FALSE	delivery_ad5	Muscle	24	24	NA
SRR28740169	DELIVERY	FALSE	delivery_ad5	Muscle	12	12	NA
SRR28740170	DELIVERY	FALSE	delivery_ad5	Muscle	24	24	NA
SRR28740171	DELIVERY	FALSE	delivery_ad26	Blood	24	24	NA
SRR28740172	DELIVERY	FALSE	delivery_ad26	Blood	24	24	NA
SRR28740173	DELIVERY	FALSE	delivery_ad5	dLN	12	12	NA
SRR28740174	DELIVERY	FALSE	delivery_ad5	dLN	12	12	NA
SRR28740175	DELIVERY	FALSE	delivery_ad5	dLN	12	12	NA
SRR28740176	DELIVERY	FALSE	delivery_ad5	dLN	12	12	NA
SRR28740177	DELIVERY	FALSE	delivery_ad26	dLN	12	12	NA
SRR28740178	DELIVERY	FALSE	delivery_ad26	dLN	12	12	NA
SRR28740179	DELIVERY	FALSE	delivery_ad26	dLN	12	12	NA
SRR28740180	DELIVERY	FALSE	delivery_ad26	dLN	12	12	NA
SRR28740181	DELIVERY	FALSE	delivery_ad26	dLN	12	12	NA
SRR28740182	DELIVERY	FALSE	delivery_ad5	Blood	12	12	NA
SRR28740183	DELIVERY	FALSE	delivery_ad5	Blood	12	12	NA
SRR28740184	DELIVERY	FALSE	delivery_ad5	Blood	12	12	NA
SRR28740185	DELIVERY	FALSE	delivery_ad5	Blood	12	12	NA
SRR28740186	DELIVERY	FALSE	delivery_ad5	Blood	12	12	NA
SRR28740187	DELIVERY	FALSE	delivery_ad26	Blood	12	12	NA
SRR28740188	DELIVERY	FALSE	delivery_ad26	Blood	12	12	NA
SRR28740189	DELIVERY	FALSE	delivery_ad26	Blood	12	12	NA
SRR28740190	DELIVERY	FALSE	delivery_ad26	Blood	12	12	NA
SRR28740191	DELIVERY	FALSE	delivery_ad5	dLN	72	72	NA
SRR28740192	DELIVERY	FALSE	delivery_ad5	dLN	72	72	NA
SRR28740193	DELIVERY	FALSE	delivery_ad5	dLN	72	72	NA
SRR28740194	DELIVERY	FALSE	delivery_ad26	dLN	72	72	NA
