sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR14828048	CONTROL	TRUE	mouse_repopulated_pbs	Liver	48	48	NA
SRR14828059	CONTROL	TRUE	mouse_repopulated_pbs	Liver	48	48	NA
SRR14828060	CONTROL	TRUE	mouse_repopulated_pbs	Liver	48	48	NA
SRR14828061	CONTROL	TRUE	mouse_repopulated_pbs	Liver	48	48	NA
SRR14828049	DELIVERY	FALSE	mouse_repopulated_lnp	Liver	48	48	NA
SRR14828062	DELIVERY	FALSE	mouse_repopulated_lnp	Liver	48	48	NA
SRR14828063	DELIVERY	FALSE	mouse_repopulated_lnp	Liver	48	48	NA
SRR14828064	DELIVERY	FALSE	mouse_repopulated_lnp	Liver	48	48	NA
