sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR31032504	DELIVERY	FALSE	delivery_vaccination_with_ssop	lymph node	6	6	NA
SRR31032505	DELIVERY	FALSE	delivery_vaccination_with_ssop	lymph node	6	6	NA
SRR31032506	DELIVERY	FALSE	delivery_vaccination_with_ssop	lymph node	6	6	NA
SRR31032507	DELIVERY	FALSE	delivery_vaccination_with_sm102	lymph node	6	6	NA
SRR31032508	DELIVERY	FALSE	delivery_vaccination_with_sm102	lymph node	6	6	NA
SRR31032509	DELIVERY	FALSE	delivery_vaccination_with_sm102	lymph node	6	6	NA
SRR31032510	CONTROL	TRUE	baseline_0	lymph node	6	6	NA
SRR31032511	CONTROL	TRUE	baseline_0	lymph node	6	6	NA
SRR31032512	CONTROL	TRUE	baseline_0	lymph node	6	6	NA
