sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR30976289	DELIVERY	FALSE	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	24	NA
SRR30976290	DELIVERY	FALSE	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	24	NA
SRR30976291	DELIVERY	FALSE	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	24	NA
SRR30976292	DELIVERY	FALSE	delivery_5_g_gi_1_gii_4_vlp	draining lymph nodes	24	24	NA
SRR30976293	DELIVERY	FALSE	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976294	DELIVERY	FALSE	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976295	DELIVERY	FALSE	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976296	DELIVERY	FALSE	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976297	DELIVERY	FALSE	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976298	DELIVERY	FALSE	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976299	DELIVERY	FALSE	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976300	DELIVERY	FALSE	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976301	DELIVERY	FALSE	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976302	DELIVERY	FALSE	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976303	DELIVERY	FALSE	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976304	DELIVERY	FALSE	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	draining lymph nodes	24	24	NA
SRR30976305	DELIVERY	FALSE	delivery_1000_g_lnps_injected	draining lymph nodes	24	24	NA
SRR30976306	DELIVERY	FALSE	delivery_1000_g_lnps_injected	draining lymph nodes	24	24	NA
SRR30976307	DELIVERY	FALSE	delivery_1000_g_lnps_injected	draining lymph nodes	24	24	NA
SRR30976308	DELIVERY	FALSE	delivery_1000_g_lnps_injected	draining lymph nodes	24	24	NA
SRR30976309	DELIVERY	FALSE	delivery_250_g_alum_injected	draining lymph nodes	24	24	NA
SRR30976310	DELIVERY	FALSE	delivery_250_g_alum_injected	draining lymph nodes	24	24	NA
SRR30976311	DELIVERY	FALSE	delivery_250_g_alum_injected	draining lymph nodes	24	24	NA
SRR30976312	DELIVERY	FALSE	delivery_250_g_alum_injected	draining lymph nodes	24	24	NA
SRR30976313	CONTROL	TRUE	baseline_0	draining lymph nodes	24	24	NA
SRR30976314	CONTROL	TRUE	baseline_0	draining lymph nodes	24	24	NA
SRR30976315	CONTROL	TRUE	baseline_0	draining lymph nodes	24	24	NA
SRR30976316	CONTROL	TRUE	baseline_0	draining lymph nodes	24	24	NA
