sample_id	group	tissue	timepoint_hr	batch
SRR13694562	delivery_aav9_ar45	Tibialis anterior	672	NA
SRR13694563	delivery_aav9_ar45	Tibialis anterior	672	NA
SRR13694564	delivery_aav9_ar45	Tibialis anterior	672	NA
SRR13694565	delivery_aav9_gfp	Tibialis anterior	672	NA
SRR13694566	delivery_aav9_gfp	Tibialis anterior	672	NA
SRR13694567	delivery_aav9_gfp	Tibialis anterior	672	NA
SRR13694568	delivery_untreated	Tibialis anterior	672	NA
SRR13694569	delivery_untreated	Tibialis anterior	672	NA
SRR13694570	delivery_untreated	Tibialis anterior	672	NA
