sample_id	group	tissue	timepoint_hr	batch	raw_time_label	time_reference_event	ex_vivo_stimulation_h	ex_vivo_stimulation_status	ex_vivo_reference_event	repository_sample_title
SRR17223816	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep3
SRR17223819	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep2
SRR17223821	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep1
SRR17223823	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep5
SRR17223825	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep4
SRR17223827	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination  rep3
SRR17223829	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8wk post vaccination rep2
SRR17223831	delivery_unstimulated	BALF	1344	NA	8 weeks post vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -8 wk post vaccination rep1
SRR17223833	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep5
SRR17223835	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep4
SRR17223837	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep3
SRR17223839	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep2
SRR17223841	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep1
SRR17223815	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep4
SRR17223817	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep3
