tissue_raw	time_label	batch_raw	group_raw	group_token
Lymph Node	6h	NA	delivery_vaccination_with_sm102	delivery_vaccination_with_sm102
Lymph Node	6h	NA	delivery_vaccination_with_ssop	delivery_vaccination_with_ssop
