Database	Term ID	Term name	Overlap count	Tested-gene denominator	Background term count	Background denominator	Gene ratio	Background ratio	Nominal p-value	Adjusted p-value (FDR)	q-value	Mapped retained genes
GO Biological Process	GO:0010822	positive regulation of mitochondrion organization	5	241	77	18659	0.02074688796680498	0.0041266948925451526	0.0032013040718934	0.0208862575125323	0.0161164049385939	Igtp;Irgm2;Irgm1;Tnfsf10;Fas
GO Biological Process	GO:0097529	myeloid leukocyte migration	9	241	233	18659	0.03734439834024896	0.012487271557961305	0.0033796773302654	0.0219622391600856	0.0169466616721451	Cxcl10;Ccl2;Ccl7;Cxcl9;Ccl12;Ccl4;Fpr2;Myd88;S100a9
GO Biological Process	GO:0001916	positive regulation of T cell mediated cytotoxicity	4	241	48	18659	0.016597510373443983	0.002572485127820355	0.0033834417835804	0.0219622391600856	0.0169466616721451	H2-T24;Pnp;H2-T22;H2-T10
GO Biological Process	GO:0032652	regulation of interleukin-1 production	6	241	113	18659	0.024896265560165973	0.006056058738410418	0.0034933040279233	0.0226178136427218	0.0174525207913882	Lilrb4b;Gbp5;Casp4;Lgals9;Pml;Myd88
GO Biological Process	GO:0043173	nucleotide salvage	3	241	24	18659	0.012448132780082987	0.0012862425639101774	0.0035245026238849	0.022704561094774	0.0175194574871474	Upp1;Pnp;Dck
GO Biological Process	GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation	3	241	24	18659	0.012448132780082987	0.0012862425639101774	0.0035245026238849	0.022704561094774	0.0175194574871474	Irf1;H2-T22;H2-T10
GO Biological Process	GO:0002711	positive regulation of T cell mediated immunity	5	241	79	18659	0.02074688796680498	0.004233881772871001	0.0035766750478674	0.0229826147282364	0.0177340112409178	Rsad2;H2-T24;Pnp;H2-T22;H2-T10
GO Biological Process	GO:0034198	cellular response to amino acid starvation	4	241	49	18659	0.016597510373443983	0.002626078567983279	0.0036474166993051	0.023378291457104	0.0180393261774678	Atf3;Eif2ak2;Cdkn1a;Fas
GO Biological Process	GO:0006935	chemotaxis	13	241	425	18659	0.05394190871369295	0.022777212069242724	0.0036696072390076	0.0234615741020264	0.018103589333714	Cxcl10;Ccl2;Saa3;Ccl7;Cxcl9;Ccl12;Ch25h;Ccl4;Fpr2;Ccrl2;Nrg1;Lgals9;S100a9
GO Biological Process	GO:0042330	taxis	13	241	426	18659	0.05394190871369295	0.02283080550940565	0.0037427306837363	0.0238692649355287	0.0184181746804922	Cxcl10;Ccl2;Saa3;Ccl7;Cxcl9;Ccl12;Ch25h;Ccl4;Fpr2;Ccrl2;Nrg1;Lgals9;S100a9
GO Biological Process	GO:0042130	negative regulation of T cell proliferation	5	241	80	18659	0.02074688796680498	0.0042874752130339245	0.0037757489641078	0.0240197895447361	0.0185343235670868	Tarm1;Lilrb4b;Slfn1;Cd274;Lgals9
GO Biological Process	GO:1902075	cellular response to salt	8	241	195	18659	0.03319502074688797	0.010450720831770191	0.0039160766282954	0.0248350277601592	0.0191633835694971	Ly6c2;Daxx;Ly6i;Tlr9;Clic4;Ly6a;Fas;Ly6e
GO Biological Process	GO:0000266	mitochondrial fission	4	241	50	18659	0.016597510373443983	0.002679672008146203	0.0039250263822758	0.0248350277601592	0.0191633835694971	Igtp;Irgm2;Irgm1;Stat2
