Dataset	Split identifier	Manuscript analysis group	Biological system or tissue	Timepoint (h)	Delivery group	Control group	Delivery platform or modality	Number of delivery samples	Number of control samples	Mean delivery-minus-control delta IMRSz	Median delivery-minus-control delta IMRSz	AUC (secondary)	Cohen d	Two-sample t-test p-value	Direction	Scoring status	Inferential-statistic status	Biological-context note
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	Primary acute validation	whole liver	4	TRIM21 KO virus plus rh9C12 WT whole liver	TRIM21 KO uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	10.144728497024795	10.593852674980226	1.0	6.353971667187039	0.0002654138040831949	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	Primary acute validation	whole liver	4	TRIM21 KO virus plus rh9C12 H433A whole liver	TRIM21 KO uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	9.804251345714937	9.763244145024638	1.0	7.44304567851696	5.093649776465466e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	Primary acute validation	whole liver	4	TRIM21 KO virus only whole liver	TRIM21 KO uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	8.694617784859638	8.995261101874878	1.0	3.709700212455867	0.0067887310362987	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	Primary acute validation	whole liver	4	WT virus only whole liver	WT uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	9.606681809911851	9.779735012784672	1.0	8.833277286829619	5.464076489631985e-05	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	Primary acute validation	whole liver	4	WT virus plus rh9C12 WT whole liver	WT uninfected whole liver	adenoviral vector / virus-antibody perturbation	4	4	15.021082164906732	15.017666917842895	1.0	16.60084922867533	5.609025861947165e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	Primary acute validation	blood	24	ad.mva	none	adenoviral / MVA vaccine vector	6	6	12.68878133451116	12.23127040037826	1.0	7.278971073158338	5.152988093806741e-06	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	Primary acute validation	blood	24	ad empty	none	adenoviral / MVA vaccine vector	6	6	13.17891812194547	13.555392388767478	1.0	8.718196724979686	6.125805502548295e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	Primary acute validation	blood	24	ad fhbp	none	adenoviral / MVA vaccine vector	6	6	14.328300033552733	14.397434502892883	1.0	13.715589413853044	4.4278575929527847e-10	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	Primary acute validation	blood	24	ad pref	none	adenoviral / MVA vaccine vector	6	6	1.670093998272992	1.3265702502659558	0.6944444444444444	0.7739675337709251	0.2271997969883985	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none	Primary acute validation	blood	24	mva.ad	none	adenoviral / MVA vaccine vector	6	6	15.317256935802664	15.324394119787938	1.0	19.545365349866465	3.5505567364017583e-09	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none	Primary acute validation	blood	24	mva fhbp	none	adenoviral / MVA vaccine vector	6	6	14.336311710882493	13.909149405044284	1.0	9.993163159124306	1.4351262650733262e-07	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	Primary acute validation	Lymph Node	6	delivery vaccination with sm102	baseline 0	mRNA lipid nanoparticle vaccine	3	3	13.946939108182676	15.10869786058612	1.0	7.423514309677196	0.0045791372169975	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	Primary acute validation	Lymph Node	6	delivery vaccination with ssop	baseline 0	mRNA lipid nanoparticle vaccine	3	3	2.349508430440869	3.0250995561725347	0.8888888888888888	2.187269703261498	0.0563313141093422	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Independent primary acute-validation contrast; nested within the source dataset.
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	Secondary support	cell line	16	delivery tlnp sihbv 50nm	baseline 0	lipid nanoparticle	3	3	3.0762415648459083	1.7161598787872028	1.0	1.5122300370806827	0.1775288809010072	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Secondary supportive 16 h in-vitro therapeutic contrast outside the primary acute-validation claim.
GSE262515_cell_line	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	Secondary support	cell line	16	delivery tlnp sinc 50nm	baseline 0	lipid nanoparticle	3	3	-0.4813147569083797	0.0670766166741045	0.5555555555555556	-0.2659897795561108	0.7682011512218764	Negative	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Secondary supportive 16 h in-vitro therapeutic contrast outside the primary acute-validation claim.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	Secondary support	tissue	72	delivery tlnp sihbv 1mg kg	baseline 0	lipid nanoparticle	3	3	1.0413601243524528	1.5001905562672946	0.8888888888888888	1.1873173485442483	0.2257125803576074	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Secondary supportive mouse-tissue contrast; 72 h is retained from GEO/supplementary Methods, with the main-paper 48 h caption conflict disclosed.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	Secondary support	tissue	72	delivery tlnp sihbv 2 5mg kg	baseline 0	lipid nanoparticle	3	3	0.5621390394308718	0.8913013171716965	0.6666666666666666	0.7190684758418003	0.4464842400163077	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Secondary supportive mouse-tissue contrast; 72 h is retained from GEO/supplementary Methods, with the main-paper 48 h caption conflict disclosed.
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	Secondary support	tissue	72	delivery tlnp sinc 1mg kg	baseline 0	lipid nanoparticle	3	3	0.7571044035156834	0.8507438518855608	0.7777777777777778	0.8986591543041338	0.342296250364059	Positive	Evaluated; included in the 70-contrast manuscript analysis	Estimated by the released split-level analysis	Secondary supportive mouse-tissue contrast; 72 h is retained from GEO/supplementary Methods, with the main-paper 48 h caption conflict disclosed.
