gene_id	phase	se_meta	beta_meta	is_core	power_delta	low_power_flag
ENSMUSG00000079225.5	anchor	0.14889288645934998	0.538252017614713	FALSE	0.9999990140041686	FALSE
ENSMUSG00000083614.2	anchor	0.14887229425777948	1.2934547759503143	FALSE	0.9999990185292965	FALSE
ENSMUSG00000071858.5	anchor	0.14886322821869993	-1.4588614904701211	FALSE	0.9999990205156186	FALSE
ENSMUSG00000087135.9	anchor	0.14886175415125874	0.3120696325875471	FALSE	0.9999990208382368	FALSE
ENSMUSG00000044757.8	anchor	0.1488584415540879	-0.6223744595073545	FALSE	0.9999990215628911	FALSE
ENSMUSG00000033737.15	anchor	0.14885631315132317	-0.3191770356598587	FALSE	0.9999990220282395	FALSE
ENSMUSG00000100794.2	anchor	0.14883947385564344	-1.830115417582391	FALSE	0.9999990257029184	FALSE
ENSMUSG00000089900.4	anchor	0.1488372322161105	0.43620810370374624	FALSE	0.999999026191151	FALSE
ENSMUSG00000108436.2	anchor	0.14881546923732433	1.4323745340895138	FALSE	0.999999030919721	FALSE
ENSMUSG00000109864.2	anchor	0.14881222731660768	0.7876948346729833	FALSE	0.9999990316223397	FALSE
ENSMUSG00000105694.2	anchor	0.14881177402700593	0.13608676162053326	FALSE	0.9999990317205442	FALSE
ENSMUSG00000095217.2	anchor	0.14878372629366932	1.7450530289150556	FALSE	0.9999990377796225	FALSE
ENSMUSG00000086657.5	anchor	0.14874850069438697	-0.03976796572824109	FALSE	0.9999990453409301	FALSE
ENSMUSG00000121061.1	anchor	0.1487385323053123	-0.5953690626757276	FALSE	0.9999990474709444	FALSE
ENSMUSG00000139203.1	anchor	0.1487175128180614	-0.2783091950976113	FALSE	0.9999990519482991	FALSE
ENSMUSG00000128028.1	anchor	0.1487090978707966	-0.30575241646673657	FALSE	0.9999990537354441	FALSE
ENSMUSG00000087466.5	anchor	0.14864675363115157	-0.05344304322771665	FALSE	0.9999990668817096	FALSE
ENSMUSG00000113263.2	anchor	0.14864348232107816	-0.8446032238642068	FALSE	0.9999990675669512	FALSE
ENSMUSG00000038765.15	anchor	0.1486385267718024	-1.0527362975438412	FALSE	0.9999990686041272	FALSE
ENSMUSG00000090235.3	anchor	0.1486261291869223	-0.39811059263902543	FALSE	0.9999990711943392	FALSE
ENSMUSG00000100394.2	anchor	0.1486171820146147	1.0502028515018105	FALSE	0.9999990730596271	FALSE
ENSMUSG00000114535.2	anchor	0.14860919808718628	0.13381703488448174	FALSE	0.9999990747212494	FALSE
ENSMUSG00000141989.1	anchor	0.14858335196767225	0.01771697085649475	FALSE	0.999999080081978	FALSE
ENSMUSG00000110521.2	anchor	0.14855641886151147	-0.14959383950475635	FALSE	0.9999990856383694	FALSE
ENSMUSG00000138984.1	anchor	0.1485226150098866	-0.27561811944909037	FALSE	0.999999092569415	FALSE
ENSMUSG00000104427.2	anchor	0.14850150397449072	0.03264999947746154	FALSE	0.99999909687391	FALSE
ENSMUSG00000129828.1	anchor	0.14849756688451532	0.28416051230321693	FALSE	0.9999990976746355	FALSE
ENSMUSG00000102301.2	anchor	0.14849278524841114	-0.09734909289761642	FALSE	0.9999990986462645	FALSE
ENSMUSG00000081277.2	anchor	0.14848985569991993	-1.0529817111876445	FALSE	0.9999990992410831	FALSE
ENSMUSG00000086076.2	anchor	0.148486825329288	0.08744131447186305	FALSE	0.9999990998560006	FALSE
ENSMUSG00000119945.2	anchor	0.14848382564018303	-0.29658733816844746	FALSE	0.9999991004643196	FALSE
ENSMUSG00000052496.6	anchor	0.14848260602792035	0.4198514038192728	FALSE	0.9999991007115437	FALSE
ENSMUSG00000139329.1	anchor	0.1484784700050071	-1.0038393494244382	FALSE	0.9999991015494893	FALSE
ENSMUSG00000103940.2	anchor	0.14846478152537745	0.19466711681948376	FALSE	0.9999991043177181	FALSE
ENSMUSG00000107076.2	anchor	0.1484557470519454	-0.34135354021629516	FALSE	0.9999991061405514	FALSE
ENSMUSG00000091383.3	anchor	0.14842681915995848	-0.14143543243195672	FALSE	0.9999991119546963	FALSE
ENSMUSG00000142018.1	anchor	0.14842046205618253	0.12689628204998885	FALSE	0.9999991132278175	FALSE
ENSMUSG00000087639.2	anchor	0.1484092754795026	0.07828827736049554	FALSE	0.9999991154641316	FALSE
ENSMUSG00000116831.4	anchor	0.1483625679750199	-0.08845098491607543	FALSE	0.9999991247466373	FALSE
ENSMUSG00000107462.2	anchor	0.148330012491658	-1.4746267362477044	FALSE	0.999999131164588	FALSE
ENSMUSG00000137751.1	anchor	0.14832859109829472	-0.939122770192001	FALSE	0.9999991314438309	FALSE
ENSMUSG00000109119.2	anchor	0.14831414455114195	0.3923416197541165	FALSE	0.999999134277372	FALSE
ENSMUSG00000134256.1	anchor	0.14831258931484076	1.1221577218989125	FALSE	0.9999991345819181	FALSE
ENSMUSG00000131833.1	anchor	0.1482934348503144	-0.09957223376387996	FALSE	0.9999991383248318	FALSE
ENSMUSG00000111722.2	anchor	0.1482927755918068	-0.4889142046494258	FALSE	0.9999991384533952	FALSE
ENSMUSG00000098559.3	anchor	0.14828687124760848	-0.11962753913998848	FALSE	0.9999991396040437	FALSE
ENSMUSG00000062329.5	anchor	0.1482833580383741	-0.5567105570534868	FALSE	0.9999991402880463	FALSE
ENSMUSG00000085079.4	anchor	0.14827356309986536	-0.6175141109224912	FALSE	0.9999991421924792	FALSE
ENSMUSG00000083856.2	anchor	0.14827064301289478	-0.9848506430032152	FALSE	0.9999991427594962	FALSE
ENSMUSG00000138224.1	anchor	0.14826430763365597	0.19178082251934991	FALSE	0.9999991439885267	FALSE
ENSMUSG00000019874.12	anchor	0.14825541620416788	1.472140799817944	FALSE	0.9999991457107386	FALSE
ENSMUSG00000097069.3	anchor	0.14822164212084893	-0.05725417183926021	FALSE	0.9999991522241267	FALSE
ENSMUSG00000110245.2	anchor	0.14821005729242878	0.9872980414459328	FALSE	0.999999154447946	FALSE
ENSMUSG00000082420.3	anchor	0.148184713049908	-0.77805619840135265	FALSE	0.999999159294689	FALSE
ENSMUSG00000141517.1	anchor	0.14811659248072767	0.12396273616913736	FALSE	0.9999991721979283	FALSE
ENSMUSG00000102135.2	anchor	0.14811342833053892	-0.9600589640741418	FALSE	0.9999991727929106	FALSE
ENSMUSG00000063767.5	anchor	0.14810089344483954	-0.1401577657895096	FALSE	0.9999991751461644	FALSE
ENSMUSG00000137590.1	anchor	0.14809947391907086	1.5874833902081582	FALSE	0.9999991754122801	FALSE
ENSMUSG00000109337.2	anchor	0.148076759707396	-0.25539851450156376	FALSE	0.9999991796599508	FALSE
ENSMUSG00000079162.9	anchor	0.14807583943739586	0.4562482669733681	FALSE	0.9999991798316292	FALSE
ENSMUSG00000105842.2	anchor	0.14806483266639653	0.18456836392673304	FALSE	0.9999991818824567	FALSE
ENSMUSG00000084904.2	anchor	0.14805596939458554	0.399778477409544	FALSE	0.999999183530536	FALSE
ENSMUSG00000115829.3	anchor	0.1480558110240341	-0.23717947326591363	FALSE	0.9999991835599569	FALSE
ENSMUSG00000031329.5	anchor	0.1480485049844644	2.816799603041638	FALSE	0.9999991849161808	FALSE
ENSMUSG00000097455.3	anchor	0.14803925740855511	-0.24980724846886795	FALSE	0.9999991866298996	FALSE
ENSMUSG00000138533.1	anchor	0.14801770654595509	-0.40357812574960666	FALSE	0.9999991906110041	FALSE
ENSMUSG00000091639.3	anchor	0.1480118880988444	-0.19150393915263045	FALSE	0.9999991916828322	FALSE
ENSMUSG00000130520.1	anchor	0.14801014281984112	1.1755969959544506	FALSE	0.999999192004084	FALSE
ENSMUSG00000097840.3	anchor	0.14799051606795416	0.11798332620788976	FALSE	0.9999991956088401	FALSE
ENSMUSG00000121784.1	anchor	0.1479870985744279	0.03637831606489535	FALSE	0.9999991962350308	FALSE
ENSMUSG00000066178.5	anchor	0.14798317533986324	0.5210862683769976	FALSE	0.9999991969533467	FALSE
ENSMUSG00000117603.2	anchor	0.14795723590230989	0.1438963005087018	FALSE	0.9999992016881186	FALSE
ENSMUSG00000085976.3	anchor	0.14795007083651895	-0.6522666327627689	FALSE	0.999999202991525	FALSE
ENSMUSG00000114349.2	anchor	0.14794298195149866	-1.2317408839386887	FALSE	0.9999992042791838	FALSE
ENSMUSG00000028039.12	anchor	0.14793644043180926	-0.7105177227475865	FALSE	0.9999992054657515	FALSE
ENSMUSG00000111027.2	anchor	0.14793149435954817	-0.6011167270309837	FALSE	0.9999992063618607	FALSE
ENSMUSG00000026303.7	anchor	0.14786798100135445	-1.7544752989513088	FALSE	0.9999992177882122	FALSE
ENSMUSG00000103525.2	anchor	0.14785732991577222	-0.01832223198858608	FALSE	0.9999992196897943	FALSE
ENSMUSG00000089753.11	anchor	0.14783472797776823	-1.459182671098957	FALSE	0.9999992237112032	FALSE
ENSMUSG00000128995.1	anchor	0.14783378974743297	-0.2874135396195685	FALSE	0.9999992238777311	FALSE
ENSMUSG00000082286.14	anchor	0.1478228749647219	-0.2901476639205636	FALSE	0.9999992258126464	FALSE
ENSMUSG00000028626.6	anchor	0.1477985788311588	-1.3262116198153726	FALSE	0.9999992301041197	FALSE
ENSMUSG00000021804.7	anchor	0.14779217951170345	-1.566326204409972	FALSE	0.9999992312308671	FALSE
ENSMUSG00000107810.2	anchor	0.14779178246150254	0.6218893939864871	FALSE	0.9999992313007279	FALSE
ENSMUSG00000058927.7	anchor	0.1477721396600283	-0.3280627958068552	FALSE	0.9999992347497255	FALSE
ENSMUSG00000041423.17	anchor	0.1477644365360247	-1.306638021942201	FALSE	0.999999236098469	FALSE
ENSMUSG00000116950.2	anchor	0.14775231573028477	-0.6436747412743651	FALSE	0.9999992382163639	FALSE
ENSMUSG00000115340.2	anchor	0.14775028059430753	-0.2837588109874239	FALSE	0.9999992385714478	FALSE
ENSMUSG00000094091.4	anchor	0.1477049131602951	0.33285237015463265	FALSE	0.9999992464483364	FALSE
ENSMUSG00000088217.4	anchor	0.14770175025493174	1.1351713952289866	FALSE	0.9999992469947419	FALSE
ENSMUSG00000139075.1	anchor	0.14769044930579017	-0.16895679540871195	FALSE	0.9999992489441094	FALSE
ENSMUSG00000078144.5	anchor	0.14768283659484824	0.04453580958189705	FALSE	0.9999992502547026	FALSE
ENSMUSG00000142294.1	anchor	0.1476739885588568	-0.4016869674960977	FALSE	0.999999251775374	FALSE
ENSMUSG00000141142.1	anchor	0.14762844646928835	0.0828830556425244	FALSE	0.9999992595585394	FALSE
ENSMUSG00000143125.1	anchor	0.1476115462481907	-0.27637930972347835	FALSE	0.9999992624281552	FALSE
ENSMUSG00000104900.3	anchor	0.14760809053516655	0.43559152454070765	FALSE	0.9999992630136891	FALSE
ENSMUSG00000028544.15	anchor	0.14754672159103133	0.6105139268957989	FALSE	0.9999992733423679	FALSE
ENSMUSG00000108849.2	anchor	0.1475259606958394	0.19823095677292696	FALSE	0.9999992768068311	FALSE
ENSMUSG00000022208.13	anchor	0.14752157834242338	-1.0670633353605523	FALSE	0.9999992775362254	FALSE
ENSMUSG00000074635.5	anchor	0.14751685155981142	-0.6079543301001784	FALSE	0.9999992783222016	FALSE
ENSMUSG00000114023.2	anchor	0.14747806540979724	-0.2650381637229573	FALSE	0.9999992847425234	FALSE
ENSMUSG00000120225.2	anchor	0.14747178264263364	-0.15485712081380112	FALSE	0.9999992857776514	FALSE
ENSMUSG00000026220.7	anchor	0.14745101501405047	0.2169438295210636	FALSE	0.9999992891896412	FALSE
ENSMUSG00000090264.2	anchor	0.1474466881930281	-0.08329808754467431	FALSE	0.9999992898986555	FALSE
ENSMUSG00000083027.2	anchor	0.14738375316846203	-0.42980213485827967	FALSE	0.9999993001395663	FALSE
ENSMUSG00000104706.2	anchor	0.14735647106006683	0.11614718310739794	FALSE	0.9999993045373821	FALSE
ENSMUSG00000039058.12	anchor	0.14735035294454377	-0.17473036864934605	FALSE	0.9999993055201769	FALSE
ENSMUSG00000076646.4	anchor	0.1473385956659997	-0.1291186555572557	FALSE	0.9999993074053093	FALSE
ENSMUSG00000045345.9	anchor	0.14730322365822712	-0.3285705072579321	FALSE	0.9999993130489391	FALSE
ENSMUSG00000102888.2	anchor	0.14728476005782726	-0.02921754066955778	FALSE	0.9999993159782938	FALSE
ENSMUSG00000114529.2	anchor	0.14724604608242806	-0.6956213735667978	FALSE	0.9999993220838918	FALSE
ENSMUSG00000083626.2	anchor	0.14717987586324183	-0.9133057146056522	FALSE	0.999999332405763	FALSE
ENSMUSG00000085675.3	anchor	0.1471456845361747	0.5078695776517048	FALSE	0.9999993376834404	FALSE
ENSMUSG00000123392.1	anchor	0.14713832957334633	-0.48910973900231025	FALSE	0.9999993388137944	FALSE
ENSMUSG00000031374.14	anchor	0.14713070412420232	-0.50447204830301	FALSE	0.9999993399838782	FALSE
ENSMUSG00000087685.3	anchor	0.14712559273296236	-0.6619645247802283	FALSE	0.9999993407671461	FALSE
ENSMUSG00000090336.6	anchor	0.14712538721979998	1.5790754140087753	FALSE	0.9999993407986213	FALSE
ENSMUSG00000086390.10	anchor	0.14711468998714824	-0.5455831227590985	FALSE	0.9999993424350742	FALSE
ENSMUSG00000134161.1	anchor	0.14710237154900518	-0.1882589692426492	FALSE	0.9999993443149907	FALSE
ENSMUSG00000089635.3	anchor	0.1470320215026684	-0.43249534534910167	FALSE	0.9999993549583804	FALSE
ENSMUSG00000137193.1	anchor	0.14700247940452413	-0.6061775835515252	FALSE	0.9999993593811327	FALSE
ENSMUSG00000086363.10	anchor	0.14699941978364903	0.9689907989232022	FALSE	0.9999993598376197	FALSE
ENSMUSG00000084011.2	anchor	0.1469923208978684	-1.221919440786141	FALSE	0.9999993608956219	FALSE
ENSMUSG00000141682.1	anchor	0.14698554465883143	0.5023174252542817	FALSE	0.9999993619040636	FALSE
ENSMUSG00000104528.2	anchor	0.146942774498533	-0.5043134817321385	FALSE	0.9999993682360236	FALSE
ENSMUSG00000064317.6	anchor	0.14693279187186672	-0.3170011674598075	FALSE	0.9999993697057168	FALSE
ENSMUSG00000046463.7	anchor	0.14690825824935247	0.17127227032333747	FALSE	0.9999993733045642	FALSE
ENSMUSG00000090088.3	anchor	0.14687333094049365	0.28010783160710534	FALSE	0.9999993783960337	FALSE
ENSMUSG00000081984.4	anchor	0.14685767278315826	0.5471762076010432	FALSE	0.9999993806664154	FALSE
ENSMUSG00000090674.2	anchor	0.1468547074744977	0.6784851116207842	FALSE	0.9999993810955304	FALSE
ENSMUSG00000046337.19	anchor	0.14684272389684708	-0.47631262531206375	FALSE	0.9999993828269595	FALSE
ENSMUSG00000125816.1	anchor	0.14683665188637937	-0.6780515023660879	FALSE	0.9999993837025928	FALSE
ENSMUSG00000133251.1	anchor	0.1467908432072904	0.17037710777262302	FALSE	0.9999993902724738	FALSE
ENSMUSG00000051076.9	anchor	0.14677719552101814	-0.3068455930558893	FALSE	0.9999993922175487	FALSE
ENSMUSG00000105719.2	anchor	0.14675634175799998	-0.08597961010759597	FALSE	0.9999993951788069	FALSE
ENSMUSG00000078291.2	anchor	0.14674511777123322	-0.2180858330423142	FALSE	0.9999993967672215	FALSE
ENSMUSG00000041700.10	anchor	0.1467424474978393	-0.5237970953455355	FALSE	0.999999397144562	FALSE
ENSMUSG00000097951.2	anchor	0.1467408654983366	-1.988694024033833	FALSE	0.9999993973680161	FALSE
ENSMUSG00000110721.2	anchor	0.1467175087422004	-0.07479781724205602	FALSE	0.9999994006584084	FALSE
ENSMUSG00000050164.12	anchor	0.1466624415925754	-0.26873209593058134	FALSE	0.9999994083518288	FALSE
ENSMUSG00000060680.3	anchor	0.1466580480631017	-0.40569811055955873	FALSE	0.9999994089617851	FALSE
ENSMUSG00000085766.2	anchor	0.14665333349037768	-0.3935701871044055	FALSE	0.9999994096156798	FALSE
ENSMUSG00000076761.2	anchor	0.14664842604508174	0.29859582471138685	FALSE	0.9999994102956304	FALSE
ENSMUSG00000117654.4	anchor	0.14664347168875558	-0.6757290308122234	FALSE	0.9999994109813626	FALSE
ENSMUSG00000122036.1	anchor	0.14663657302643665	1.3268311540763762	FALSE	0.9999994119350052	FALSE
ENSMUSG00000112813.2	anchor	0.14663449084995567	-0.07188170457533821	FALSE	0.9999994122225624	FALSE
ENSMUSG00000117941.3	anchor	0.14659410940137013	1.2649160040482847	FALSE	0.9999994177743255	FALSE
ENSMUSG00000026450.15	anchor	0.1465527087249761	-0.04874009676325148	FALSE	0.9999994234169518	FALSE
ENSMUSG00000120555.2	anchor	0.14654015848368718	-0.6058598637038783	FALSE	0.9999994251176695	FALSE
ENSMUSG00000114665.3	anchor	0.14653996808482167	-0.6764576579113659	FALSE	0.999999425143436	FALSE
ENSMUSG00000119985.2	anchor	0.14651134550893177	-0.3830786907394413	FALSE	0.9999994290050463	FALSE
ENSMUSG00000086096.4	anchor	0.1465012414332639	-0.3879617239027991	FALSE	0.9999994303626241	FALSE
ENSMUSG00000138564.1	anchor	0.1464854018963046	0.29968822496573516	FALSE	0.9999994324849415	FALSE
ENSMUSG00000038060.16	anchor	0.14647452012193868	-0.6280424720539124	FALSE	0.9999994339388288	FALSE
ENSMUSG00000137574.1	anchor	0.14646026023828349	0.3496559599086488	FALSE	0.9999994358389579	FALSE
ENSMUSG00000081289.2	anchor	0.1464566459914238	-1.4580713088704165	FALSE	0.999999436319639	FALSE
ENSMUSG00000022577.19	anchor	0.14645005303761455	-0.47920793795292066	FALSE	0.9999994371955228	FALSE
ENSMUSG00000073067.12	anchor	0.14644512859060074	0.5207264553047198	FALSE	0.9999994378489397	FALSE
ENSMUSG00000054383.3	anchor	0.14640390755691307	-0.13692548842566302	FALSE	0.9999994432916434	FALSE
ENSMUSG00000043614.14	anchor	0.14639521692515745	-0.7948531336229088	FALSE	0.9999994444330271	FALSE
ENSMUSG00000086767.3	anchor	0.14638930574810932	0.6690604411148948	FALSE	0.9999994452081616	FALSE
ENSMUSG00000120249.2	anchor	0.14638912865637008	-0.2888309360619287	FALSE	0.9999994452313686	FALSE
ENSMUSG00000031098.19	anchor	0.1463844010716096	-0.1701425502585603	FALSE	0.9999994458505707	FALSE
ENSMUSG00000063816.4	anchor	0.14636199112220402	-0.36298992304655703	FALSE	0.9999994487772492	FALSE
ENSMUSG00000133856.1	anchor	0.14634788951314442	-0.1040132789504	FALSE	0.9999994506117069	FALSE
ENSMUSG00000053025.14	anchor	0.1463373722957017	-0.823612273252034	FALSE	0.9999994519762793	FALSE
ENSMUSG00000140193.1	anchor	0.14633688987021623	0.31392045727022305	FALSE	0.9999994520387987	FALSE
ENSMUSG00000141929.1	anchor	0.1463068794382668	2.12129654054279	FALSE	0.9999994559153091	FALSE
ENSMUSG00000125633.1	anchor	0.14629255676986208	-0.4383934641466746	FALSE	0.9999994577566386	FALSE
ENSMUSG00000096825.4	anchor	0.14629153534435566	-0.1708239283944297	FALSE	0.9999994578877379	FALSE
ENSMUSG00000103013.2	anchor	0.1462809522218647	-0.1675475628997453	FALSE	0.999999459244389	FALSE
ENSMUSG00000097756.4	anchor	0.1462544525440151	-0.5602108887104205	FALSE	0.9999994626279213	FALSE
ENSMUSG00000139225.1	anchor	0.14624530690904236	-0.5738425724040218	FALSE	0.9999994637912012	FALSE
ENSMUSG00000091363.2	anchor	0.14624505563912257	-0.9363830609394184	FALSE	0.9999994638231293	FALSE
ENSMUSG00000090077.10	anchor	0.14621892522909663	-0.3877220876646406	FALSE	0.9999994671340683	FALSE
ENSMUSG00000081170.2	anchor	0.14616910792317866	-0.5378859360809141	FALSE	0.9999994733951304	FALSE
ENSMUSG00000130719.1	anchor	0.1461651224911492	0.10757865719868091	FALSE	0.9999994738931341	FALSE
ENSMUSG00000121206.2	anchor	0.14613454652709984	-0.07731629853325041	FALSE	0.9999994776996326	FALSE
ENSMUSG00000101834.2	anchor	0.1461256611153846	-1.655290898387844	FALSE	0.9999994788011227	FALSE
