sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR7761109	CONTROL	TRUE	WT_uninfected_whole_liver	whole liver	4	4	NA
SRR7761110	CONTROL	TRUE	WT_uninfected_whole_liver	whole liver	4	4	NA
SRR7761111	CONTROL	TRUE	WT_uninfected_whole_liver	whole liver	4	4	NA
SRR7761112	CONTROL	TRUE	WT_uninfected_whole_liver	whole liver	4	4	NA
SRR7761113	DELIVERY	FALSE	WT_virus_only_whole_liver	whole liver	4	4	NA
SRR7761114	DELIVERY	FALSE	WT_virus_only_whole_liver	whole liver	4	4	NA
SRR7761115	DELIVERY	FALSE	WT_virus_only_whole_liver	whole liver	4	4	NA
SRR7761116	DELIVERY	FALSE	WT_virus_only_whole_liver	whole liver	4	4	NA
SRR7761117	DELIVERY	FALSE	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761118	DELIVERY	FALSE	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761119	DELIVERY	FALSE	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761120	DELIVERY	FALSE	WT_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761121	DELIVERY	FALSE	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761122	DELIVERY	FALSE	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761123	DELIVERY	FALSE	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761124	DELIVERY	FALSE	WT_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761125	CONTROL	TRUE	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	NA
SRR7761126	CONTROL	TRUE	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	NA
SRR7761127	CONTROL	TRUE	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	NA
SRR7761128	CONTROL	TRUE	TRIM21_KO_uninfected_whole_liver	whole liver	4	4	NA
SRR7761129	DELIVERY	FALSE	TRIM21_KO_virus_only_whole_liver	whole liver	4	4	NA
SRR7761130	DELIVERY	FALSE	TRIM21_KO_virus_only_whole_liver	whole liver	4	4	NA
SRR7761131	DELIVERY	FALSE	TRIM21_KO_virus_only_whole_liver	whole liver	4	4	NA
SRR7761132	DELIVERY	FALSE	TRIM21_KO_virus_only_whole_liver	whole liver	4	4	NA
SRR7761133	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761134	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761135	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761136	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	whole liver	4	4	NA
SRR7761137	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761138	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761139	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
SRR7761140	DELIVERY	FALSE	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	whole liver	4	4	NA
