sample_id	group	tissue	timepoint_hr	batch	raw_time_label	time_reference_event	ex_vivo_stimulation_h	ex_vivo_stimulation_status	ex_vivo_reference_event	repository_sample_title	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR17223832	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep5	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223834	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep4	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223836	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep3	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223838	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep2	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223840	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep1	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223833	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep5	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223835	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep4	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223837	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep3	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223839	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep2	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223841	delivery_unstimulated	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	unstimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	unstimulated airway macrophage -baseline rep1	delivery_unstimulated	BALF	0	0	0h	NA	TRUE	CONTROL	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
